event_id,url,title,article_text,published,effective_at,expires_at,event_type,matched_phrases,performance_delta,availability_delta,uncertainty_delta,confidence
f01addcc637e1bf95276,https://www.vlr.gg/711977/gen-g-shuts-down-zynx-for-the-rest-of-2026-due-to-wrist-injury,Gen.G shuts down ZynX for the rest of 2026 due to wrist injury,"Gen.G shuts down ZynX for the rest of 2026 due to wrist injury After struggling with a wrist injury during Stage 1, Gen.G shuts down ZynX for the rest of the year to prioritize his recovery.",2026-07-08T00:00:00,2026-07-08T00:00:00,2026-08-12T00:00:00,unavailable,shuts down,0.0,-0.35,0.18,0.9
02b9a486dccdb68e29c4,https://www.vlr.gg/711261/c0m-okeanos-released-from-evil-geniuses,"C0M, Okeanos released from Evil Geniuses","C0M, Okeanos released from Evil Geniuses The former LEVIATÁN duo have departed Evil Geniuses after almost two months on the bench.",2026-07-07T00:00:00,2026-07-07T00:00:00,2026-11-04T00:00:00,benching,bench,0.0,-0.7,0.25,0.95
4f4423c12e254e0ec789,https://www.vlr.gg/711261/c0m-okeanos-released-from-evil-geniuses,"C0M, Okeanos released from Evil Geniuses","C0M, Okeanos released from Evil Geniuses The former LEVIATÁN duo have departed Evil Geniuses after almost two months on the bench.",2026-07-07T00:00:00,2026-07-07T00:00:00,2027-01-03T00:00:00,roster_exit,released,0.0,-0.85,0.28,0.95
673bddf7b0527cae5c93,https://www.vlr.gg/711799/mibr-nongshim-punch-final-ewc-playoff-tickets,"MIBR, Nongshim punch final EWC Playoff tickets","MIBR, Nongshim punch final EWC Playoff tickets All Gamers and G2 bow out of the action in Paris's Group Stage.",2026-07-07T00:00:00,2026-07-07T00:00:00,2026-08-11T00:00:00,unavailable,out of,0.0,-0.35,0.18,0.9
fe3c7d02364a9e5ac084,https://www.vlr.gg/669626/wolves-releases-jowa,Wolves releases jowa,"Wolves releases jowa After just Kickoff and Stage 1, Wolves parts ways with jowa.",2026-07-06T00:00:00,2026-07-06T00:00:00,2027-01-02T00:00:00,roster_exit,parts ways,0.0,-0.85,0.28,0.95
36ea609345e5436eabcd,https://www.vlr.gg/710963/dh-returns-to-t1s-main-roster,DH returns to T1's main roster,"DH returns to T1's main roster DH is back, back again.",2026-07-06T00:00:00,2026-07-06T00:00:00,2026-08-03T00:00:00,return,returns;back,0.02,0.25,-0.1,0.8
492b3ff8f8c4247f8fe5,https://www.vlr.gg/709760/new-bird-same-talons-frost-joins-full-sense,"New bird, same talons: FrosT joins FULL SENSE","New bird, same talons: FrosT joins FULL SENSE FULL SENSE hosts a TALON reunion, with FrosT pairing up with some familiar faces on the Thai squad.",2026-07-04T00:00:00,2026-07-04T00:00:00,2026-09-17T00:00:00,roster_join,joins,0.0,0.0,0.08,0.85
da436d168e250af3c6ad,https://www.vlr.gg/709217/nongshim-redforce-signs-2011-born-prospect-woohyun,Nongshim RedForce signs 2011-born prospect WoohyuN,Nongshim RedForce signs 2011-born prospect WoohyuN An up-and-coming name signs with Nongshim RedForce.,2026-07-03T00:00:00,2026-07-03T00:00:00,2026-09-16T00:00:00,roster_join,signs,0.0,0.0,0.08,0.85
7ddeac6646862c967f82,https://www.vlr.gg/708381/wolves-add-nothing-as-sixth-man,Wolves add nothing as sixth man,Wolves add nothing as sixth man nothing joins Wolves as its sixth man ahead of Stage 2.,2026-07-02T00:00:00,2026-07-02T00:00:00,2026-09-15T00:00:00,roster_join,joins,0.0,0.0,0.08,0.85
5cb044fbc61d1113f621,https://www.vlr.gg/708454/edward-gaming-releases-cb,EDward Gaming releases cb,"EDward Gaming releases cb After competing in just two events for the team, cb is released by EDG.",2026-07-02T00:00:00,2026-07-02T00:00:00,2026-12-29T00:00:00,roster_exit,released,0.0,-0.85,0.28,0.95
