match_id,match_url,match_date,team1,team2,event_name,event_series,event_stage,event_tier,is_lan,best_of,scraped_at
712811,https://www.vlr.gg/712811/giantx-vs-karmine-corp-vct-2026-emea-stage-2-w1,2026-07-19T16:00:00+00:00,GIANTX,Karmine Corp,,Group Stage–Week 1,Group Stage–Week 1,unknown,False,3,2026-07-16T16:33:59
712812,https://www.vlr.gg/712812/team-vitality-vs-bbl-esports-vct-2026-emea-stage-2-w1,2026-07-19T19:00:00+00:00,Team Vitality,BBL Esports,,Group Stage–Week 1,Group Stage–Week 1,unknown,False,3,2026-07-16T16:33:59
712814,https://www.vlr.gg/712814/fut-esports-vs-pcific-esports-vct-2026-emea-stage-2-w2,2026-07-22T16:00:00+00:00,FUT Esports,PCFIC Esports,,Group Stage–Week 2,Group Stage–Week 2,unknown,False,3,2026-07-16T16:33:59
712815,https://www.vlr.gg/712815/fnatic-vs-karmine-corp-vct-2026-emea-stage-2-w2,2026-07-22T19:00:00+00:00,Fnatic,Karmine Corp,,Group Stage–Week 2,Group Stage–Week 2,unknown,False,3,2026-07-16T16:33:59
698892,https://www.vlr.gg/698892/global-esports-vs-full-sense-vct-2026-pacific-stage-2-w2,2026-07-23T09:00:00+00:00,Global Esports,FULL SENSE,,Group Stage–Week 2,Group Stage–Week 2,unknown,False,3,2026-07-16T16:33:59
698893,https://www.vlr.gg/698893/t1-vs-varrel-vct-2026-pacific-stage-2-w2,2026-07-23T11:00:00+00:00,T1,VARREL,,Group Stage–Week 2,Group Stage–Week 2,unknown,False,3,2026-07-16T16:33:59
712816,https://www.vlr.gg/712816/eternal-fire-vs-team-heretics-vct-2026-emea-stage-2-w2,2026-07-23T16:00:00+00:00,Eternal Fire,Team Heretics,,Group Stage–Week 2,Group Stage–Week 2,unknown,False,3,2026-07-16T16:33:59
712817,https://www.vlr.gg/712817/gentle-mates-vs-natus-vincere-vct-2026-emea-stage-2-w2,2026-07-23T19:00:00+00:00,Gentle Mates,Natus Vincere,,Group Stage–Week 2,Group Stage–Week 2,unknown,False,3,2026-07-16T16:33:59
706355,https://www.vlr.gg/706355/evil-geniuses-vs-leviat-n-vct-2026-americas-stage-2-w2,2026-07-23T22:00:00+00:00,Evil Geniuses,Leviatan,,Group Stage–Week 2,Group Stage–Week 2,unknown,False,3,2026-07-16T16:33:59
706356,https://www.vlr.gg/706356/envy-vs-mibr-vct-2026-americas-stage-2-w2,2026-07-24T01:00:00+00:00,ENVY,MIBR,,Group Stage–Week 2,Group Stage–Week 2,unknown,False,3,2026-07-16T16:33:59
698894,https://www.vlr.gg/698894/rex-regum-qeon-vs-zeta-division-vct-2026-pacific-stage-2-w2,2026-07-24T09:00:00+00:00,Rex Regum Qeon,ZETA DIVISION,,Group Stage–Week 2,Group Stage–Week 2,unknown,False,3,2026-07-16T16:33:59
698895,https://www.vlr.gg/698895/detonation-focusme-vs-paper-rex-vct-2026-pacific-stage-2-w2,2026-07-24T11:00:00+00:00,DetonatioN FocusMe,Paper Rex,,Group Stage–Week 2,Group Stage–Week 2,unknown,False,3,2026-07-16T16:33:59
712818,https://www.vlr.gg/712818/fut-esports-vs-bbl-esports-vct-2026-emea-stage-2-w2,2026-07-24T16:00:00+00:00,FUT Esports,BBL Esports,,Group Stage–Week 2,Group Stage–Week 2,unknown,False,3,2026-07-16T16:33:59
712819,https://www.vlr.gg/712819/team-liquid-vs-fnatic-vct-2026-emea-stage-2-w2,2026-07-24T19:00:00+00:00,Team Liquid,Fnatic,,Group Stage–Week 2,Group Stage–Week 2,unknown,False,3,2026-07-16T16:33:59
706357,https://www.vlr.gg/706357/furia-vs-nrg-vct-2026-americas-stage-2-w2,2026-07-24T22:00:00+00:00,FURIA,NRG,,Group Stage–Week 2,Group Stage–Week 2,unknown,False,3,2026-07-16T16:33:59
706358,https://www.vlr.gg/706358/100-thieves-vs-kr-esports-vct-2026-americas-stage-2-w2,2026-07-25T01:00:00+00:00,100 Thieves,KRU Esports,,Group Stage–Week 2,Group Stage–Week 2,unknown,False,3,2026-07-16T16:33:59
698897,https://www.vlr.gg/698897/nongshim-redforce-vs-global-esports-vct-2026-pacific-stage-2-w2,2026-07-25T09:00:00+00:00,Nongshim RedForce,Global Esports,,Group Stage–Week 2,Group Stage–Week 2,unknown,False,3,2026-07-16T16:33:59
698898,https://www.vlr.gg/698898/team-secret-vs-t1-vct-2026-pacific-stage-2-w2,2026-07-25T11:00:00+00:00,Team Secret,T1,,Group Stage–Week 2,Group Stage–Week 2,unknown,False,3,2026-07-16T16:33:59
